ID_Compra;ID_Cliente;Idade;Sexo;Estado_Civil;Cidade;Regiao;Renda_Mensal;Tempo_Cliente_Anos;Canal;Produto;Categoria;Quantidade;Valor_Unitario;Desconto_%;Valor_Total;Forma_Pagamento;Cupom;Programa_Fidelidade;Avaliacao;Cancelou;Fraude;Mes;Data_Compra
35;C0605;42;F;Solteiro;Fortaleza;Nordeste;20365;4;Site;Smartphone;Telefonia;1;2800;0;2800;Pix;Não;Não;4;Não;Não;October;07/10/2025
36;C0642;35;F;Casado;São Paulo;Sudeste;20192;3;Loja;SSD 1TB;Armazenamento;4;650;0;2600;Cartão;Não;Sim;4;Não;Não;June;22/06/2025
37;C0098;61;M;Divorciado;Rio de Janeiro;Sudeste;15707;11;Site;Notebook;Informática;4;4500;10;16200;Cartão;Sim;Sim;4;Não;Não;March;08/03/2025
38;C0343;55;M;Casado;Fortaleza;Nordeste;12900;0;Loja;Monitor;Informática;1;1100;10;990;Cartão;Sim;Não;5;Não;Não;January;10/01/2025
39;C0799;31;M;Divorciado;Curitiba;Sul;13905;2;Site;Monitor;Informática;1;1100;20;880;Pix;Sim;Não;3;Não;Não;August;26/08/2025
40;C0212;56;F;Divorciado;Curitiba;Sul;4561;13;App;Impressora;Informática;2;950;0;1900;Pix;Não;Sim;4;Não;Não;October;09/10/2025
41;C0752;50;F;Casado;Recife;Nordeste;13057;11;Loja;Webcam;Informática;3;260;5;741;Boleto;Sim;Sim;3;Não;Não;September;08/09/2025
42;C0137;19;M;Casado;Curitiba;Sul;17073;6;Site;Headset;Informática;4;380;0;1520;Pix;Não;Sim;5;Não;Não;November;27/11/2025
43;C0678;50;M;Casado;Belém;Norte;18499;10;Site;Impressora;Informática;3;950;0;2850;Pix;Não;Sim;4;Não;Não;May;12/05/2025
44;C0541;51;M;Divorciado;Belém;Norte;21767;6;Loja;Monitor;Informática;2;1100;0;2200;Pix;Não;Não;3;Não;Não;May;19/05/2025
45;C0795;63;M;Solteiro;Recife;Nordeste;13719;12;Site;Roteador;Redes;2;480;0;960;Boleto;Não;Sim;5;Não;Não;March;15/03/2025
46;C0135;69;F;Divorciado;Manaus;Norte;10987;9;App;Smartphone;Telefonia;2;2800;0;5600;Cartão;Não;Sim;4;Não;Não;March;28/03/2025
47;C0192;62;F;Solteiro;São Paulo;Sudeste;15363;15;App;Smartphone;Telefonia;3;2800;0;8400;Cartão;Não;Sim;4;Não;Não;December;15/12/2025
48;C0766;44;F;Casado;São Paulo;Sudeste;18453;1;Site;Smartphone;Telefonia;1;2800;10;2520;Boleto;Sim;Não;5;Não;Não;May;12/05/2025
49;C0337;66;F;Solteiro;Rio de Janeiro;Sudeste;4750;13;App;Monitor;Informática;2;1100;0;2200;Cartão;Não;Sim;4;Não;Não;March;23/03/2025
50;C0549;45;M;Casado;Recife;Nordeste;8654;9;Site;Webcam;Informática;4;260;0;1040;Pix;Não;Não;5;Não;Não;February;10/02/2025
51;C0363;63;F;Solteiro;São Paulo;Sudeste;8470;13;Loja;SSD 1TB;Armazenamento;1;650;5;617,5;Boleto;Sim;Sim;5;Não;Não;May;18/05/2025
52;C0295;65;M;Casado;Manaus;Norte;17416;14;App;Mouse;Informática;4;120;20;384;Pix;Sim;Sim;3;Não;Não;August;22/08/2025
53;C0387;56;F;Divorciado;Recife;Nordeste;10151;2;Site;Smartphone;Telefonia;1;2800;10;2520;Pix;Sim;Não;4;Não;Não;October;30/10/2025
54;C0043;22;M;Divorciado;Belém;Norte;14456;14;Site;Headset;Informática;1;380;0;380;Cartão;Não;Sim;1;Sim;Não;February;17/02/2025
55;C0173;52;M;Solteiro;Manaus;Norte;4130;3;App;Mouse;Informática;2;120;0;240;Cartão;Não;Sim;4;Não;Não;December;20/12/2025
56;C0249;43;F;Divorciado;Recife;Nordeste;15525;1;Site;Cadeira Gamer;Móveis;2;1800;10;3240;Boleto;Sim;Não;5;Não;Não;September;01/09/2025
57;C0605;42;M;Divorciado;Manaus;Norte;18149;6;Site;Notebook;Informática;4;4500;10;16200;Cartão;Sim;Sim;5;Não;Não;May;17/05/2025
58;C0786;45;F;Casado;São Paulo;Sudeste;19179;3;Site;Smartwatch;Wearables;1;1600;5;1520;Pix;Sim;Sim;5;Não;Não;August;01/08/2025
59;C0411;18;F;Solteiro;Manaus;Norte;10407;5;Site;Mouse;Informática;1;120;0;120;Boleto;Não;Não;2;Sim;Não;November;20/11/2025
60;C0730;53;F;Casado;Manaus;Norte;13454;14;App;Notebook;Informática;2;4500;10;8100;Pix;Sim;Não;2;Sim;Não;March;28/03/2025
61;C0668;22;M;Solteiro;Manaus;Norte;11201;1;Site;Mouse;Informática;1;120;15;102;Pix;Sim;Não;5;Não;Não;October;08/10/2025
62;C0651;51;F;Casado;Manaus;Norte;19549;11;Loja;Headset;Informática;4;380;0;1520;Boleto;Não;Sim;4;Não;Não;February;15/02/2025
63;C0452;61;F;Solteiro;Rio de Janeiro;Sudeste;7193;6;Site;Smartphone;Telefonia;4;2800;0;11200;Pix;Não;Sim;3;Não;Sim;February;08/02/2025
64;C0766;66;F;Divorciado;Rio de Janeiro;Sudeste;17343;4;App;Smartphone;Telefonia;2;2800;5;5320;Cartão;Sim;Sim;1;Sim;Não;February;15/02/2025
65;C0715;49;M;Divorciado;Recife;Nordeste;18587;11;Loja;Impressora;Informática;1;950;10;855;Pix;Sim;Sim;4;Não;Não;June;05/06/2025
66;C0609;61;F;Casado;Manaus;Norte;2735;10;App;Smartphone;Telefonia;4;2800;5;10640;Pix;Sim;Sim;4;Não;Não;September;15/09/2025
67;C0679;48;F;Solteiro;São Paulo;Sudeste;1930;9;Loja;Monitor;Informática;1;1100;0;1100;Boleto;Não;Sim;3;Não;Não;November;17/11/2025
68;C0006;46;F;Solteiro;Rio de Janeiro;Sudeste;12441;14;App;Smartwatch;Wearables;3;1600;0;4800;Cartão;Não;Sim;5;Não;Não;May;09/05/2025
69;C0457;65;M;Casado;Curitiba;Sul;12061;5;Loja;Headset;Informática;1;380;0;380;Cartão;Não;Não;4;Não;Não;April;26/04/2025
70;C0709;60;M;Solteiro;Belém;Norte;9331;12;Loja;Smartphone;Telefonia;4;2800;0;11200;Boleto;Não;Sim;5;Não;Não;July;13/07/2025
71;C0711;34;M;Casado;Rio de Janeiro;Sudeste;7554;9;Loja;Cadeira Gamer;Móveis;2;1800;0;3600;Pix;Não;Não;5;Não;Não;August;16/08/2025
72;C0385;58;M;Divorciado;Manaus;Norte;21848;9;App;Mouse;Informática;3;120;15;306;Boleto;Sim;Sim;5;Não;Não;September;19/09/2025
73;C0293;69;M;Casado;Brasília;Centro-Oeste;19027;7;Loja;Headset;Informática;4;380;0;1520;Pix;Não;Não;4;Não;Não;October;14/10/2025
74;C0599;42;M;Divorciado;Manaus;Norte;5305;7;Loja;Headset;Informática;4;380;5;1444;Pix;Sim;Não;4;Não;Não;July;11/07/2025
75;C0032;52;F;Solteiro;Belém;Norte;8922;12;Loja;Cadeira Gamer;Móveis;3;1800;5;5130;Cartão;Sim;Não;4;Não;Não;May;01/05/2025
76;C0329;37;F;Solteiro;Belém;Norte;12998;4;Site;Smartwatch;Wearables;1;1600;5;1520;Boleto;Sim;Não;3;Não;Não;September;06/09/2025
77;C0350;56;F;Solteiro;Belém;Norte;13151;7;Loja;Webcam;Informática;1;260;15;221;Pix;Sim;Sim;5;Não;Não;February;16/02/2025
78;C0022;61;M;Casado;Belém;Norte;16276;15;Loja;Webcam;Informática;3;260;10;702;Cartão;Sim;Não;4;Não;Não;November;24/11/2025
79;C0071;34;F;Casado;Belém;Norte;13271;5;Loja;Teclado;Informática;3;220;0;660;Boleto;Não;Não;5;Não;Não;April;26/04/2025
80;C0374;66;F;Casado;Belém;Norte;20735;8;Loja;Cadeira Gamer;Móveis;3;1800;0;5400;Boleto;Não;Não;4;Não;Não;August;03/08/2025
81;C0260;20;M;Divorciado;Fortaleza;Nordeste;11307;13;App;SSD 1TB;Armazenamento;2;650;10;1170;Pix;Sim;Não;4;Não;Não;July;03/07/2025
82;C0530;37;M;Casado;Belém;Norte;21670;7;Loja;Monitor;Informática;3;1100;10;2970;Pix;Sim;Não;5;Não;Não;December;05/12/2025
83;C0345;43;M;Divorciado;Fortaleza;Nordeste;21746;12;App;Smartphone;Telefonia;4;2800;10;10080;Cartão;Sim;Sim;4;Não;Não;July;03/07/2025
84;C0015;66;M;Casado;Recife;Nordeste;10027;15;Loja;Smartwatch;Wearables;4;1600;0;6400;Boleto;Não;Sim;5;Não;Não;October;06/10/2025
85;C0056;25;M;Casado;Curitiba;Sul;14380;9;App;Roteador;Redes;3;480;0;1440;Pix;Não;Sim;2;Sim;Não;January;26/01/2025
86;C0726;41;M;Solteiro;Manaus;Norte;11272;4;Loja;Headset;Informática;2;380;0;760;Pix;Não;Não;5;Não;Não;October;29/10/2025
87;C0753;64;M;Solteiro;São Paulo;Sudeste;16244;0;App;Monitor;Informática;4;1100;15;3740;Cartão;Sim;Não;4;Não;Não;April;08/04/2025
88;C0053;44;M;Solteiro;Curitiba;Sul;19369;5;Site;Roteador;Redes;1;480;0;480;Cartão;Não;Não;4;Não;Não;August;14/08/2025
89;C0651;58;F;Solteiro;Curitiba;Sul;4897;4;Site;SSD 1TB;Armazenamento;4;650;5;2470;Boleto;Sim;Sim;4;Não;Não;June;01/06/2025
90;C0032;24;F;Casado;Brasília;Centro-Oeste;4325;11;Site;Mouse;Informática;1;120;0;120;Pix;Não;Sim;3;Não;Não;April;10/04/2025
91;C0349;34;F;Casado;Belém;Norte;19609;2;App;Webcam;Informática;3;260;10;702;Pix;Sim;Não;5;Não;Não;March;18/03/2025
92;C0199;53;M;Divorciado;Belém;Norte;14590;8;Site;Webcam;Informática;3;260;0;780;Cartão;Não;Não;5;Não;Não;February;03/02/2025
93;C0656;56;F;Divorciado;Curitiba;Sul;19309;1;App;Smartphone;Telefonia;2;2800;10;5040;Pix;Sim;Não;4;Não;Não;June;06/06/2025
94;C0156;35;M;Casado;Belém;Norte;8610;9;Loja;Impressora;Informática;4;950;0;3800;Boleto;Não;Sim;4;Não;Não;January;25/01/2025
95;C0070;36;M;Solteiro;Rio de Janeiro;Sudeste;8437;0;Loja;Smartphone;Telefonia;2;2800;10;5040;Pix;Sim;Não;5;Não;Não;May;10/05/2025
96;C0511;51;M;Divorciado;Recife;Nordeste;19514;7;Loja;Impressora;Informática;4;950;15;3230;Boleto;Sim;Sim;4;Não;Não;November;30/11/2025
97;C0351;41;F;Divorciado;Curitiba;Sul;19980;11;App;Headset;Informática;1;380;5;361;Cartão;Sim;Não;5;Não;Não;August;27/08/2025
98;C0699;21;F;Casado;São Paulo;Sudeste;17301;12;Loja;Monitor;Informática;1;1100;0;1100;Pix;Não;Sim;3;Não;Não;May;23/05/2025
99;C0219;47;F;Solteiro;Manaus;Norte;19085;15;Site;Headset;Informática;2;380;10;684;Cartão;Sim;Não;4;Não;Não;August;09/08/2025
100;C0294;45;M;Divorciado;Brasília;Centro-Oeste;8384;2;Site;Smartphone;Telefonia;2;2800;5;5320;Boleto;Sim;Não;5;Não;Não;December;27/12/2025
101;C0502;34;M;Divorciado;Rio de Janeiro;Sudeste;12636;2;App;Roteador;Redes;3;480;0;1440;Pix;Não;Não;4;Não;Não;April;26/04/2025
102;C0317;57;M;Casado;Fortaleza;Nordeste;3206;8;App;Roteador;Redes;3;480;10;1296;Cartão;Sim;Sim;3;Não;Não;June;22/06/2025
103;C0713;69;F;Casado;Brasília;Centro-Oeste;12103;13;Loja;Roteador;Redes;3;480;0;1440;Pix;Não;Sim;5;Não;Não;June;16/06/2025
104;C0591;38;F;Casado;Curitiba;Sul;2243;9;App;Cadeira Gamer;Móveis;3;1800;10;4860;Boleto;Sim;Sim;5;Não;Não;February;08/02/2025
105;C0786;53;F;Casado;Curitiba;Sul;14829;0;Loja;Mouse;Informática;3;120;10;324;Pix;Sim;Não;4;Não;Não;October;14/10/2025
106;C0001;22;F;Solteiro;Manaus;Norte;12072;4;Loja;Headset;Informática;1;380;10;342;Pix;Sim;Sim;3;Não;Não;April;12/04/2025
107;C0771;69;F;Casado;Rio de Janeiro;Sudeste;8971;1;Site;Notebook;Informática;2;4500;10;8100;Boleto;Sim;Não;4;Não;Não;September;02/09/2025
108;C0460;62;F;Casado;Brasília;Centro-Oeste;4343;3;Loja;Monitor;Informática;3;1100;0;3300;Boleto;Não;Sim;1;Sim;Não;May;04/05/2025
109;C0040;21;M;Solteiro;Rio de Janeiro;Sudeste;1912;0;Loja;Smartwatch;Wearables;2;1600;10;2880;Cartão;Sim;Não;5;Não;Não;September;10/09/2025
110;C0101;39;M;Solteiro;Rio de Janeiro;Sudeste;3270;2;App;Teclado;Informática;4;220;0;880;Pix;Não;Não;4;Não;Não;March;18/03/2025
111;C0795;56;M;Casado;Manaus;Norte;12914;15;Site;Smartphone;Telefonia;2;2800;0;5600;Pix;Não;Não;2;Sim;Não;April;11/04/2025
112;C0504;21;F;Casado;Belém;Norte;18583;13;Loja;Headset;Informática;1;380;0;380;Boleto;Não;Sim;5;Não;Não;February;24/02/2025
113;C0300;49;F;Divorciado;Brasília;Centro-Oeste;17227;10;Loja;Headset;Informática;3;380;0;1140;Cartão;Não;Sim;5;Não;Não;February;19/02/2025
114;C0405;49;M;Divorciado;São Paulo;Sudeste;12173;14;Loja;Smartphone;Telefonia;2;2800;0;5600;Boleto;Não;Sim;5;Não;Não;December;15/12/2025
115;C0724;28;M;Casado;Rio de Janeiro;Sudeste;15126;12;App;Headset;Informática;2;380;5;722;Pix;Sim;Não;5;Não;Não;January;08/01/2025
116;C0541;64;F;Divorciado;Curitiba;Sul;6857;4;Loja;SSD 1TB;Armazenamento;2;650;0;1300;Boleto;Não;Sim;5;Não;Não;January;13/01/2025
117;C0700;69;M;Solteiro;Brasília;Centro-Oeste;3773;3;Site;Headset;Informática;4;380;0;1520;Boleto;Não;Sim;3;Não;Não;January;28/01/2025
118;C0108;32;F;Divorciado;São Paulo;Sudeste;13036;5;Site;Monitor;Informática;4;1100;10;3960;Boleto;Sim;Sim;5;Não;Não;March;13/03/2025
119;C0480;43;F;Divorciado;São Paulo;Sudeste;4929;12;Site;Smartwatch;Wearables;1;1600;0;1600;Cartão;Não;Não;4;Não;Não;January;22/01/2025
120;C0021;28;F;Solteiro;Brasília;Centro-Oeste;20804;12;Site;Smartphone;Telefonia;2;2800;0;5600;Cartão;Não;Sim;4;Não;Não;June;13/06/2025
121;C0329;20;F;Solteiro;Recife;Nordeste;5705;1;App;Notebook;Informática;4;4500;10;16200;Cartão;Sim;Não;5;Não;Não;February;06/02/2025
122;C0743;63;M;Solteiro;Belém;Norte;7339;8;Loja;Impressora;Informática;3;950;0;2850;Boleto;Não;Sim;4;Não;Não;October;12/10/2025
123;C0672;44;F;Solteiro;Recife;Nordeste;10113;6;Loja;Mouse;Informática;1;120;0;120;Pix;Não;Sim;1;Sim;Não;June;29/06/2025
124;C0002;28;F;Casado;São Paulo;Sudeste;1860;11;App;Smartphone;Telefonia;1;2800;0;2800;Cartão;Não;Não;4;Não;Não;March;01/03/2025
125;C0523;31;M;Solteiro;Manaus;Norte;19124;4;App;Headset;Informática;1;380;10;342;Pix;Sim;Sim;3;Não;Não;March;08/03/2025
126;C0190;29;F;Divorciado;Brasília;Centro-Oeste;8509;15;App;Headset;Informática;4;380;5;1444;Cartão;Sim;Sim;5;Não;Não;June;06/06/2025
127;C0176;36;M;Divorciado;Recife;Nordeste;11200;4;Loja;Webcam;Informática;4;260;0;1040;Pix;Não;Não;5;Não;Não;November;11/11/2025
128;C0644;49;M;Casado;Fortaleza;Nordeste;15035;12;Loja;Roteador;Redes;4;480;0;1920;Pix;Não;Sim;4;Não;Não;December;05/12/2025
129;C0371;39;F;Casado;Brasília;Centro-Oeste;13744;14;Loja;Smartwatch;Wearables;1;1600;0;1600;Pix;Não;Sim;3;Não;Não;September;18/09/2025
130;C0477;68;F;Casado;Fortaleza;Nordeste;17024;3;Loja;Cadeira Gamer;Móveis;4;1800;0;7200;Cartão;Não;Sim;5;Não;Não;January;23/01/2025
131;C0250;47;F;Solteiro;Recife;Nordeste;15468;7;App;Teclado;Informática;4;220;0;880;Cartão;Não;Sim;1;Sim;Não;July;19/07/2025
132;C0516;55;M;Casado;Belém;Norte;15203;9;Site;Webcam;Informática;2;260;0;520;Cartão;Não;Não;3;Não;Não;March;29/03/2025
133;C0186;20;M;Casado;Recife;Nordeste;9935;15;Loja;Notebook;Informática;1;4500;10;4050;Cartão;Sim;Sim;5;Não;Não;December;09/12/2025
134;C0023;19;F;Divorciado;São Paulo;Sudeste;7276;0;App;Smartphone;Telefonia;1;2800;10;2520;Boleto;Sim;Não;5;Não;Não;March;16/03/2025
135;C0633;51;M;Casado;São Paulo;Sudeste;18127;4;Loja;SSD 1TB;Armazenamento;2;650;0;1300;Cartão;Não;Sim;2;Sim;Não;August;13/08/2025
136;C0280;45;M;Casado;Rio de Janeiro;Sudeste;7226;6;Loja;Roteador;Redes;4;480;15;1632;Cartão;Sim;Sim;3;Não;Não;February;16/02/2025
137;C0716;41;F;Casado;Curitiba;Sul;16285;12;Site;Impressora;Informática;3;950;15;2422,5;Boleto;Sim;Sim;5;Não;Não;January;19/01/2025
138;C0216;31;F;Solteiro;São Paulo;Sudeste;15959;12;Site;Smartwatch;Wearables;2;1600;5;3040;Pix;Sim;Sim;4;Não;Não;March;30/03/2025
139;C0579;35;M;Solteiro;Recife;Nordeste;2700;4;Site;Cadeira Gamer;Móveis;3;1800;0;5400;Pix;Não;Sim;4;Não;Não;June;22/06/2025
140;C0395;38;M;Divorciado;Rio de Janeiro;Sudeste;17186;3;Site;Smartwatch;Wearables;2;1600;0;3200;Pix;Não;Sim;5;Não;Não;December;29/12/2025
141;C0438;64;M;Casado;Manaus;Norte;4117;2;Loja;Mouse;Informática;4;120;0;480;Cartão;Não;Não;5;Não;Não;July;04/07/2025
142;C0650;52;M;Casado;Manaus;Norte;2716;14;Site;Mouse;Informática;1;120;15;102;Pix;Sim;Sim;5;Não;Não;April;17/04/2025
143;C0244;22;M;Casado;Manaus;Norte;10248;0;Site;Smartphone;Telefonia;4;2800;10;10080;Boleto;Sim;Não;5;Não;Não;June;19/06/2025
144;C0659;67;M;Solteiro;Manaus;Norte;4106;1;Loja;Mouse;Informática;3;120;15;306;Pix;Sim;Não;4;Não;Não;July;07/07/2025
145;C0105;40;M;Casado;Rio de Janeiro;Sudeste;6188;2;Loja;Teclado;Informática;3;220;0;660;Pix;Não;Não;5;Não;Não;November;18/11/2025
146;C0625;69;F;Divorciado;Belém;Norte;19825;1;Loja;Cadeira Gamer;Móveis;3;1800;10;4860;Cartão;Sim;Não;2;Sim;Não;April;02/04/2025
147;C0227;49;F;Solteiro;Brasília;Centro-Oeste;20355;14;Site;Mouse;Informática;4;120;5;456;Cartão;Sim;Não;4;Não;Não;August;25/08/2025
148;C0311;34;F;Casado;Curitiba;Sul;21670;1;App;Smartphone;Telefonia;3;2800;10;7560;Cartão;Sim;Não;4;Não;Não;March;12/03/2025
149;C0774;38;F;Divorciado;Curitiba;Sul;12388;13;Loja;Headset;Informática;4;380;10;1368;Cartão;Sim;Sim;5;Não;Não;February;11/02/2025
150;C0222;41;M;Casado;Manaus;Norte;15241;9;Loja;Headset;Informática;1;380;5;361;Cartão;Sim;Sim;3;Não;Não;November;10/11/2025
151;C0084;35;F;Divorciado;Manaus;Norte;17917;8;Site;Headset;Informática;4;380;0;1520;Boleto;Não;Não;4;Não;Não;July;26/07/2025
152;C0669;54;F;Divorciado;Manaus;Norte;11902;8;Loja;Headset;Informática;1;380;15;323;Cartão;Sim;Sim;5;Não;Não;January;24/01/2025
153;C0437;57;M;Casado;Rio de Janeiro;Sudeste;5231;8;Loja;Cadeira Gamer;Móveis;3;1800;20;4320;Pix;Sim;Não;5;Não;Não;September;19/09/2025
154;C0062;64;M;Casado;Brasília;Centro-Oeste;16161;3;App;Teclado;Informática;3;220;10;594;Pix;Sim;Sim;2;Sim;Não;January;07/01/2025
155;C0190;50;M;Divorciado;Recife;Nordeste;6004;10;App;Notebook;Informática;2;4500;10;8100;Boleto;Sim;Não;4;Não;Não;December;13/12/2025
156;C0455;52;F;Casado;Brasília;Centro-Oeste;18736;15;Site;Cadeira Gamer;Móveis;4;1800;10;6480;Boleto;Sim;Sim;4;Não;Não;November;28/11/2025
157;C0354;38;M;Casado;Brasília;Centro-Oeste;15854;0;App;Smartphone;Telefonia;3;2800;10;7560;Boleto;Sim;Não;3;Não;Não;December;07/12/2025
158;C0718;61;M;Casado;Manaus;Norte;19517;15;Site;Smartphone;Telefonia;1;2800;0;2800;Boleto;Não;Sim;5;Não;Não;August;22/08/2025
159;C0070;49;M;Casado;Rio de Janeiro;Sudeste;15142;8;Loja;Monitor;Informática;2;1100;0;2200;Pix;Não;Sim;4;Não;Não;November;12/11/2025
160;C0056;31;M;Casado;Recife;Nordeste;2826;10;Site;Webcam;Informática;4;260;5;988;Boleto;Sim;Não;5;Sim;Não;June;04/06/2025
161;C0362;48;F;Solteiro;Belém;Norte;14420;5;App;Monitor;Informática;2;1100;0;2200;Cartão;Não;Sim;4;Não;Não;June;10/06/2025
162;C0787;25;M;Solteiro;Recife;Nordeste;5711;3;Loja;Monitor;Informática;4;1100;5;4180;Cartão;Sim;Sim;4;Não;Não;December;23/12/2025
163;C0314;48;F;Casado;Fortaleza;Nordeste;8202;4;Loja;Teclado;Informática;3;220;0;660;Boleto;Não;Não;5;Não;Não;September;07/09/2025
164;C0491;25;F;Solteiro;Fortaleza;Nordeste;10666;8;App;Notebook;Informática;3;4500;0;13500;Cartão;Não;Sim;5;Não;Não;March;30/03/2025
165;C0533;28;M;Solteiro;Belém;Norte;11624;6;Loja;Cadeira Gamer;Móveis;1;1800;15;1530;Boleto;Sim;Sim;5;Não;Não;February;21/02/2025
